airport_full,city,country,iata,icao,latitude,longitude

Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291

Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465

Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344

Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977

Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312

Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998

Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877

Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.678100585900005

Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647

Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001

Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828

Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330230712889,-14.401399612426758

Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272

Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001

Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809783935547,-23.13529968261719

Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998

Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965

Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415

Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167

Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430114746094,-20.27890014648437

Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061035156,-84.5093994140625

Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207

Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.639701843299996,-63.4994010925

St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.391899108900006,-56.083099365200006

Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.77558300000001

Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098

Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969482422,-68.20439910888672

CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060073852539,-70.99639892578125

Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889678960001,-96.077796936

Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080184936523,-125.27100372314452

Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897

